UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 21:37 ?        00:00:02 /sbin/init auto noprompt
root           2       0  0 21:37 ?        00:00:00 [kthreadd]
root           3       2  0 21:37 ?        00:00:00 [rcu_gp]
root           4       2  0 21:37 ?        00:00:00 [rcu_par_gp]
root           5       2  0 21:37 ?        00:00:00 [kworker/0:0-events]
root           6       2  0 21:37 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 21:37 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 21:37 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 21:37 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 21:37 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 21:37 ?        00:00:00 [rcu_sched]
root          14       2  0 21:37 ?        00:00:00 [migration/0]
root          15       2  0 21:37 ?        00:00:00 [idle_inject/0]
root          16       2  0 21:37 ?        00:00:00 [cpuhp/0]
root          17       2  0 21:37 ?        00:00:00 [cpuhp/1]
root          18       2  0 21:37 ?        00:00:00 [idle_inject/1]
root          19       2  0 21:37 ?        00:00:00 [migration/1]
root          20       2  0 21:37 ?        00:00:00 [ksoftirqd/1]
root          22       2  0 21:37 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 21:37 ?        00:00:00 [kdevtmpfs]
root          24       2  0 21:37 ?        00:00:00 [netns]
root          25       2  0 21:37 ?        00:00:00 [inet_frag_wq]
root          26       2  0 21:37 ?        00:00:00 [kauditd]
root          28       2  0 21:37 ?        00:00:00 [khungtaskd]
root          29       2  0 21:37 ?        00:00:00 [oom_reaper]
root          30       2  0 21:37 ?        00:00:00 [writeback]
root          31       2  0 21:37 ?        00:00:00 [kcompactd0]
root          32       2  0 21:37 ?        00:00:00 [ksmd]
root          33       2  0 21:37 ?        00:00:00 [khugepaged]
root          80       2  0 21:37 ?        00:00:00 [kintegrityd]
root          81       2  0 21:37 ?        00:00:00 [kblockd]
root          82       2  0 21:37 ?        00:00:00 [blkcg_punt_bio]
root          83       2  0 21:37 ?        00:00:00 [tpm_dev_wq]
root          84       2  0 21:37 ?        00:00:00 [ata_sff]
root          85       2  0 21:37 ?        00:00:00 [md]
root          86       2  0 21:37 ?        00:00:00 [edac-poller]
